river,year,intensité
"Aulnaies, Rivière des",2011,40751.9795
"Aulnaies, Rivière des",2012,33880.41592
"Aulnaies, Rivière des",2013,29866.46327
"Aulnaies, Rivière des",2014,43137.97561
"Aulnaies, Rivière des",2015,25034.09561
"Aulnaies, Rivière des",2016,27185.32188
"Aulnaies, Rivière des",2017,48203.28725
"Aulnaies, Rivière des",2018,
"Aulnaies, Rivière des",2019,
"Boyer, Rivière",2011,92962.72478
"Boyer, Rivière",2012,91298.50379
"Boyer, Rivière",2013,89734.27778
"Boyer, Rivière",2014,86588.76071
"Boyer, Rivière",2015,64818.51389
"Boyer, Rivière",2016,92762.97049
"Boyer, Rivière",2017,58521.88889
"Boyer, Rivière",2018,
"Boyer, Rivière",2019,
"Bécancour, Rivière",2011,59758.27951
"Bécancour, Rivière",2012,41733.95618
"Bécancour, Rivière",2013,38708.87384
"Bécancour, Rivière",2014,43913.03085
"Bécancour, Rivière",2015,60047.99039
"Bécancour, Rivière",2016,50219.45434
"Bécancour, Rivière",2017,182338.6787
"Bécancour, Rivière",2018,
"Bécancour, Rivière",2019,
"Cascapédia, Petite rivière",2011,17214.42864
"Cascapédia, Petite rivière",2012,23808.34922
"Cascapédia, Petite rivière",2013,17357.13934
"Cascapédia, Petite rivière",2014,30004.22485
"Cascapédia, Petite rivière",2015,23193.16904
"Cascapédia, Petite rivière",2016,27828.13039
"Cascapédia, Petite rivière",2017,20883.54811
"Cascapédia, Petite rivière",2018,
"Cascapédia, Petite rivière",2019,
"Chaleurs, Baie des",2011,48010.94798
"Chaleurs, Baie des",2012,54670.22473
"Chaleurs, Baie des",2013,45362.22
"Chaleurs, Baie des",2014,53647.01388
"Chaleurs, Baie des",2015,28841.68237
"Chaleurs, Baie des",2016,25890.03177
"Chaleurs, Baie des",2017,116134.4651
"Chaleurs, Baie des",2018,
"Chaleurs, Baie des",2019,
"Champlain, Rivière",2011,213937.7604
"Champlain, Rivière",2012,159716.369
"Champlain, Rivière",2013,191506.4236
"Champlain, Rivière",2014,204759.4595
"Champlain, Rivière",2015,149825.6944
"Champlain, Rivière",2016,124124.6354
"Champlain, Rivière",2017,47077.21825
"Champlain, Rivière",2018,
"Champlain, Rivière",2019,
"Chasse, Rivière à la",2011,246910.5704
"Chasse, Rivière à la",2012,180854.6458
"Chasse, Rivière à la",2013,138154.2771
"Chasse, Rivière à la",2014,197214.9642
"Chasse, Rivière à la",2015,
"Chasse, Rivière à la",2016,253529.399
"Chasse, Rivière à la",2017,
"Chasse, Rivière à la",2018,
"Chasse, Rivière à la",2019,
"Chaudière, Rivière",2011,241453.0966
"Chaudière, Rivière",2012,194624.6027
"Chaudière, Rivière",2013,141821.4216
"Chaudière, Rivière",2014,164634.2931
"Chaudière, Rivière",2015,88228.71022
"Chaudière, Rivière",2016,122894.8505
"Chaudière, Rivière",2017,131594.5574
"Chaudière, Rivière",2018,
"Chaudière, Rivière",2019,
"Châteauguay, Rivière",2011,35439.71048
"Châteauguay, Rivière",2012,10907.03879
"Châteauguay, Rivière",2013,7902.250669
"Châteauguay, Rivière",2014,18222.70202
"Châteauguay, Rivière",2015,13157.92506
"Châteauguay, Rivière",2016,150294.6062
"Châteauguay, Rivière",2017,201781.6908
"Châteauguay, Rivière",2018,
"Châteauguay, Rivière",2019,
"Corbin, Ruisseau",2011,53262.0075
